scope,layer,route,threshold_id,kind,criterion,epsilon,output_equivalence,observations,mean,median,p90,p99,minimum,maximum,pool_size,mean_pool_fraction,no_active_fraction
layer,9,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,374.9546227627113,376,443,487,123,596,4600,0.0815118745136329,0.0
layer,10,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,291.44181378474,294,346,371,107,425,4600,0.06335691604016087,0.0
layer,11,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,307.4918463034708,309,361,389,111,455,4600,0.06684605354423279,0.0
layer,12,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,338.38857942174695,338,390,428,145,517,4600,0.07356273465690151,0.0
layer,13,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,664.4119034563909,672,766,834,150,999,4600,0.14443737031660672,0.0
layer,14,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,733.563407022445,737,815,884,113,1085,4600,0.15947030587444455,0.0
layer,15,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,661.6803667912718,677,755,818,128,1037,4600,0.14384355799810256,0.0
layer,16,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,503.36150042424435,514,584,637,136,814,4600,0.1094264131357053,0.0
layer,17,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,313.86350647973234,314,377,430,108,570,4600,0.06823119706081138,0.0
layer,0,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,244.16690003441983,246,294,311,112,413,4600,0.053079760877047785,0.0
layer,1,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,311.5220134797643,308,405,433,134,475,4600,0.06772217684342703,0.0
layer,2,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,328.7147330862577,325,424,450,143,505,4600,0.07145972458396907,0.0
layer,3,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,357.78694908267164,368,444,463,141,495,4600,0.07777977153971123,0.0
layer,4,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,320.6569830222208,328,362,376,107,406,4600,0.06970803978743931,0.0
layer,5,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,295.56342993564294,302,336,349,92,383,4600,0.06425291955122672,0.0
layer,6,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,297.1712056144339,304,344,360,91,406,4600,0.06460243600313781,0.0
